tmdb_id,title,original_title,content_type,release_date,genre_ids,vote_average,vote_count,popularity,original_language,overview,adult,video,poster_path,backdrop_path,scraped_date
1267319,Mantis,사마귀,Movie,2025-09-26,"[28, 80, 53]",5.8,29,445.4668,ko,"Mantis, an ace assassin, returns to the contract killer industry after a hiatus, encountering his trainee friend Jae-yi and a retired legendary killer Dok-go, who now runs the organization.",False,False,/xS9bbciDC5lHPgl79SrPyzxKAXL.jpg,/ckT96Sn8r1IDNyIBJ1mDZ1Jh2kR.jpg,2025-10-01 14:47:28
803796,KPop Demon Hunters,KPop Demon Hunters,Movie,2025-06-20,"[10751, 10402, 35, 12, 14, 16]",8.284,1543,142.4078,en,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",False,False,/22AouvwlhlXbe3nrFcjzL24bvWH.jpg,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,2025-10-01 14:47:28
1289888,French Lover,French Lover,Movie,2025-09-25,"[10749, 35]",5.475,60,95.2856,fr,"When a jaded actor meets a down-on-her-luck waitress in Paris, their unexpected love story begins — but will it survive the glare of the spotlight?",False,False,/jekag0zxQ15kuMEQsc58r6UN3Ny.jpg,/p4OIGFfVo3vbROMD1evVF0u14Rf.jpg,2025-10-01 14:47:28
1119878,Ice Road: Vengeance,Ice Road: Vengeance,Movie,2025-06-27,"[28, 53, 18]",6.363,433,80.2498,en,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",False,False,/cQN9rZj06rXMVkk76UF1DfBAico.jpg,/2nwhxEyefcIFKwOrSigiamoIzu2.jpg,2025-10-01 14:47:28
1371189,Ruth & Boaz,Ruth & Boaz,Movie,2025-09-25,"[10749, 18, 10402]",7.158,19,69.5096,en,"A talented singer leaves the Atlanta music scene and starts over in small-town Tennessee, where she finds love and new purpose but can't escape the past.",False,False,/mtMJEIHjeHcLtvP0tFPAptk1Var.jpg,/m2e8GUES92IaXRCLxWElJnlZ34w.jpg,2025-10-01 14:47:28
615453,Ne Zha,哪吒之魔童降世,Movie,2019-07-26,"[16, 14, 12]",7.898,662,45.4455,zh,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",False,False,/phM9bb6s9c60LA8qwsdk7U1N2cS.jpg,/k1pJslKr4aDayw9kWwWnlC3MIP3.jpg,2025-10-01 14:47:28
1100988,28 Years Later,28 Years Later,Movie,2025-06-18,"[27, 53, 878]",6.731,1482,44.7633,en,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",False,False,/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,/5z314zU4iraY1ZhbIvgfpbMRVA7.jpg,2025-10-01 14:47:28
1011477,Karate Kid: Legends,Karate Kid: Legends,Movie,2025-05-08,"[28, 12, 18]",7.1,872,42.6768,en,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",False,False,/AEgggzRr1vZCLY86MAp93li43z.jpg,/7Q2CmqIVJuDAESPPp76rWIiA0AD.jpg,2025-10-01 14:47:28
1389158,Maa,माँ,Movie,2025-06-20,[27],6.679,42,32.0117,hi,A mother and daughter encounter a demon in a village where girls have been disappearing.,False,False,/kc5n7LJUmvBsVxzAla1ONN8kouP.jpg,/u3Cfe21Cmv5cWs5VnFCz15HdfKO.jpg,2025-10-01 14:47:28
1321439,The Wrong Paris,The Wrong Paris,Movie,2025-09-11,"[10749, 35]",6.613,160,34.3078,en,"Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",False,False,/A0KRoR842OgNByCfw9iFHbWoeR9.jpg,/i8QHgJKnsd8csNBo8fH9wYW2Y9E.jpg,2025-10-01 14:47:28
